Qualifying Name,Name of Area,FIPS,Nation,State,County,Total Population (2019 est.),Total Violent and Property Crimes,Total Violent and Property Crimes: Violent Crimes,Total Violent and Property Crimes: Property Crimes,% Total Violent and Property Crimes: Violent Crimes,% Total Violent and Property Crimes: Property Crimes,Total Violent and Property Crimes Rate,Total Violent and Property Crimes Rate: Violent Crimes Rate,Total Violent and Property Crimes Rate: Property Crimes Rate,Total Violent Crimes ,Total Violent Crimes: Murders and Nonnegligent Manslaughters,Total Violent Crimes: Rape Revised Definition,Total Violent Crimes: Rape Legacy Definition,Total Violent Crimes: Robberies,Total Violent Crimes: Aggravated Assaults,Total Violent Crimes Rate,Total Violent Crimes Rate: Murders and Nonnegligent Manslaughters Rate,Total Violent Crimes Rate: Rape Revised Definition Rate,Rape Legacy Definition Rate,Total Violent Crimes Rate: Robberies Rate,Total Violent Crimes Rate: Aggravated Assaults Rate,Total Property Crimes,Total Property Crimes: Burglaries,Total Property Crimes: Larcenies,Total Property Crimes: Motor Vehicle Thefts,Total Property Crimes Rate,Total Property Crimes Rate: Burglaries Rate,Total Property Crimes Rate: Larcenies Rate,Total Property Crimes Rate: Motor Vehicle Thefts Rate,Arsons,Arsons Rate,Total Number of Hate Crime Reported:,"Total Number of Hate Crimes with an Anti-Race, Anti-Ethnicity, Anti-Ancestry Bias Reported:",Total Number of Hate Crimes with an Anti-Religion Bias Reported:,Total Number of Hate Crimes with an Anti-Sexual Orientation Bias Reported:,Total Number of Hate Crimes with an Anti-Disability Bias Reported:,Total Number of Hate Crimes with an Anti-Gender and Anti-Gender Identity Bias Reported:,"% Total Number of Hate Crimes with an Anti-Race, Anti-Ethnicity, Anti-Ancestry Bias Reported:",% Total Number of Hate Crimes with an Anti-Religion Bias Reported:,% Total Number of Hate Crimes with an Anti-Sexual Orientation Bias Reported:,% Total Number of Hate Crimes with an Anti-Disability Bias Reported:,% Total Number of Hate Crimes with an Anti-Gender and Anti-Gender Identity Bias Reported:,"Total Number of Hate Crime Reported (Rate per 100,000 Population):","Anti-Race, Anti-Ethnicity, Anti-Ancestry Rate:",Anti-Religion Rate:,Anti-Sexual Orientation Rate:,Anti-Disability Rate:,Anti-Gender and Anti-Gender Rate:
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,PCT_SE_T002_002,PCT_SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T008_001,SE_T009_001,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,PCT_SE_T010_002,PCT_SE_T010_003,PCT_SE_T010_004,PCT_SE_T010_005,PCT_SE_T010_006,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006
"Alameda County, California",Alameda County,6001,0,6,1,1671329,2802,633,2169,22.59,77.41,167.6510131,37.87405113,129.7769619,633,5,27,,210,391,37.87405113,0.299163121,1.615480854,,12.56485109,23.39455607,2169,354,1324,491,129.7769619,21.18074897,79.21839446,29.37781849,21,1.256485109,,,,,,,,,,,,,,,,,
"Alpine County, California",Alpine County,6003,0,6,3,1129,42,13,29,30.95,69.05,3720.106289,1151.46147,2568.644818,13,0,2,,0,11,1151.46147,0,177.1479185,,0,974.3135518,29,12,14,3,2568.644818,1062.887511,1240.03543,265.7218778,0,0,,,,,,,,,,,,,,,,,
"Amador County, California",Amador County,6005,0,6,5,39752,482,66,416,13.69,86.31,1212.517609,166.0293822,1046.488227,66,1,3,,8,54,166.0293822,2.5155967,7.546790099,,20.1247736,135.8422218,416,146,268,2,1046.488227,367.2771181,674.1799155,5.031193399,4,10.0623868,,,,,,,,,,,,,,,,,
"Butte County, California",Butte County,6007,0,6,7,219186,1573,283,1290,17.99,82.01,717.6553247,129.1140858,588.5412389,283,5,32,,28,218,129.1140858,2.281167593,14.59947259,,12.77453852,99.45890705,1290,524,724,42,588.5412389,239.0663637,330.3130674,19.16180778,3,1.368700556,,,,,,,,,,,,,,,,,
"Calaveras County, California",Calaveras County,6009,0,6,9,45905,807,139,668,17.22,82.78,1757.978434,302.7992593,1455.179174,139,1,32,,8,98,302.7992593,2.178411938,69.70918201,,17.4272955,213.4843699,668,274,380,14,1455.179174,596.8848709,827.7965363,30.49776713,0,0,,,,,,,,,,,,,,,,,
"Colusa County, California",Colusa County,6011,0,6,11,21547,195,26,169,13.33,86.67,904.9983756,120.6664501,784.3319256,26,0,8,,4,14,120.6664501,0,37.12813849,,18.56406924,64.97424235,169,53,111,5,784.3319256,245.9739175,515.1529215,23.20508655,3,13.92305193,,,,,,,,,,,,,,,,,
"Contra Costa County, California",Contra Costa County,6013,0,6,13,1153526,1831,332,1499,18.13,81.87,158.7307091,28.78131919,129.94939,332,8,28,,89,207,28.78131919,0.693525764,2.427340173,,7.71547412,17.94497913,1499,411,1053,35,129.94939,35.62988611,91.28532864,3.034175216,11,0.953597925,,,,,,,,,,,,,,,,,
"Del Norte County, California",Del Norte County,6015,0,6,15,27812,508,84,424,16.54,83.46,1826.549691,302.0279016,1524.521789,84,2,11,,18,53,302.0279016,7.191140515,39.55127283,,64.72026463,190.5652236,424,192,228,4,1524.521789,690.3494894,819.7900187,14.38228103,12,43.14684309,,,,,,,,,,,,,,,,,
"El Dorado County, California",El Dorado County,6017,0,6,17,192843,1868,173,1695,9.26,90.74,968.6636279,89.71028246,878.9533455,173,3,47,,29,94,89.71028246,1.555669638,24.37215766,,15.03813983,48.74431532,1695,482,1186,27,878.9533455,249.9442552,615.0080636,14.00102674,4,2.074226184,,,,,,,,,,,,,,,,,
